index;first_old;time_old;task_old;time_new;task_new;age;gender
1;0;73;4;87;5;31;1
2;0;78;4;89;5;27;1
3;0;96;4;93;5;46;0
4;0;97;4;85;5;39;1
5;1;87;5;90;6;36;0
6;0;96;5;80;7;20;1
7;1;71;6;69;7;20;1
8;1;87;6;88;7;22;0
9;0;90;6;80;7;49;1
10;1;95;6;89;7;34;0
11;1;98;6;76;7;37;0
12;1;105;6;97;7;48;1
13;0;79;7;77;7;19;1
14;0;83;7;92;7;35;1
15;0;85;7;96;7;32;1
16;0;87;7;85;7;43;0
17;1;96;7;83;7;28;1
18;1;101;7;71;7;38;0
19;1;101;7;79;7;21;0
20;1;103;7;85;7;26;1
